,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,3957,UNUS SED LEO,LEO,unus-sed-leo,59,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923663609.9,985239504.0,False,,11,,,,2025-04-19T15:14:00.000Z,9.308990884390031,1852521.10488929,-13.445,0.45120031,2.80613472,-0.84757018,-4.981529,-4.62931664,-3.36276028,8598376124.80189,0.3193,9171585561.68,,2025-04-19T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-04-19 10:13:46.495556
11,1975,Chainlink,LINK,chainlink,1993,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-04-19T15:14:00.000Z,12.788501739355727,146769117.60045332,-30.3002,0.0869549,2.40878443,-2.94340884,-12.40433203,-28.66736023,-50.09626779,8403324115.066059,0.3121,12788501739.36,,2025-04-19T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-04-19 10:13:46.495556
12,5805,Avalanche,AVAX,avalanche,906,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416045344.86218244,452714844.86218244,False,,13,,,,2025-04-19T15:14:00.000Z,19.748755797504394,131038588.09869775,-19.3619,0.3905193,4.58161835,-0.91845953,3.50192278,-16.79818599,-49.06045857,8216377916.37174,0.3051,14135146663.91,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
13,512,Stellar,XLM,stellar,702,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30824177778.446426,50001786892.81785,False,,14,,,,2025-04-19T15:14:00.000Z,0.24549169352759914,78663934.90852365,-21.2966,-0.22554549,1.58280757,-0.26630034,-14.5839345,-24.15866133,-47.19153339,7567079604.426601,0.281,12275028233.72,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
14,11419,Toncoin,TON,toncoin,719,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2509942217.6537137,5127619970.933823,True,,15,,,,2025-04-19T15:14:00.000Z,2.980018270971349,67908616.11420654,-28.802,-0.02883295,-0.68521896,0.18617899,-21.93156745,-18.54539485,-42.27742674,7479673667.690413,0.2778,15280401199.98,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
15,5994,Shiba Inu,SHIB,shiba-inu,957,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem']",589552695333683.0,589250405162197.6,589504512155280.8,False,,16,589552695333683.0,7183551813.066478,,2025-04-19T15:14:00.000Z,1.2184749336105798e-05,112915524.03443941,2.3454,-0.13605946,0.90412871,-2.7142028,-5.44334565,-20.11676591,-44.19520051,7179868483.100161,0.2667,7183551813.07,,2025-04-19T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-04-19 10:13:46.495556
16,4642,Hedera,HBAR,hedera,336,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,42228651561.96572,50000000000.0,False,,17,,,,2025-04-19T15:14:00.000Z,0.16562864275927622,104420457.97707361,-21.4502,-0.02656679,0.98430399,-5.27274004,-14.20151289,-18.46714927,-52.67680353,6994274243.762772,0.2598,8281432137.96,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
17,20947,Sui,SUI,sui,609,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3249982900.4588876,10000000000.0,False,,18,3249982900.4588876,6977061890.157966,,2025-04-19T15:14:00.000Z,2.1467995690601405,346898914.74365366,-29.9349,-0.0637802,1.78791624,-6.47654304,-12.56160211,-30.69567186,-56.39177354,6977061890.157966,0.2591,21467995690.6,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
18,1831,Bitcoin Cash,BCH,bitcoin-cash,1011,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america']",21000000.0,19858359.375,19858359.375,False,,19,,,,2025-04-19T15:14:00.000Z,337.67870924857306,157516784.55684096,-28.6746,-0.01045645,-0.80522122,2.02164929,-0.72220354,7.20495233,-27.0655396,6705745161.5443,0.2491,7091252894.22,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
19,32196,Hyperliquid,HYPE,hyperliquid,71,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'derivatives', 'layer-1', 'hyperliquid-ecosystem']",1000000000.0,333928180.0,999993930.0,False,,20,333931719.0,6037540639.58194,,2025-04-19T15:14:00.000Z,18.080165183655225,107645333.65770616,-28.885,0.18704855,9.11972081,15.58293345,20.74879301,-24.45078395,-17.93693487,6037476653.877356,0.2242,18080165183.66,,2025-04-19T15:14:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-04-19 10:13:46.495556
,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12041,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19853462.0,19853462.0,False,,1,,,,2025-04-19T15:15:00.000Z,85422.99700097265,12797750459.45778,-29.1894,0.0181668,1.12091362,0.82454454,-0.5282342,-10.55097588,-18.33227251,1695942224884.9246,62.985,1793882937020.43,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
1,1027,Ethereum,ETH,ethereum,10138,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120703159.49029723,120703159.49029723,True,,2,,,,2025-04-19T15:15:00.000Z,1607.7529336466032,5770513663.315151,-42.1346,0.1266563,1.57012554,-2.65960393,-19.1460973,-40.17757532,-52.81577726,194060858770.9392,7.2072,194060858770.94,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
2,825,Tether USDt,USDT,tether,124735,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,144640112847.93365,148032435823.63278,True,,3,,,,2025-04-19T15:14:00.000Z,0.9998889488961674,32189396303.840256,-22.1197,0.0001201,-0.00130098,0.02835984,0.01326693,-0.01280654,0.12952744,144624050403.7434,5.3711,148015996658.23,,2025-04-19T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-19 10:14:46.617211
3,52,XRP,XRP,xrp,1591,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58394167593.0,99986232255.0,False,,4,,,,2025-04-19T15:15:00.000Z,2.0838964737971395,1560749125.6110256,-29.2412,-0.23950805,1.09862719,-2.97630233,-16.28653508,-19.04452005,-33.69200911,121687399937.3719,4.5193,208389647379.71,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
4,1839,BNB,BNB,bnb,2473,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890885.86,140890885.86,False,,5,,,,2025-04-19T15:14:00.000Z,589.7121622055913,1270603742.8189714,-12.3361,0.10034064,-0.64959652,-1.42615035,-5.88354804,-9.65239319,-15.29478995,83085068935.56178,3.0857,83085068935.56,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:14:46.617211
5,5426,Solana,SOL,solana,899,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,516600345.1296557,598877005.5735406,True,,6,,,,2025-04-19T15:15:00.000Z,139.69990089883436,2274639612.813473,-21.3546,0.09084295,5.23942128,7.45724368,7.10563505,-16.19438806,-47.58098951,72169017018.91653,2.6802,83663058329.21,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
6,3408,USDC,USDC,usd-coin,27215,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60905869233.36766,60905869233.36766,False,,7,,,,2025-04-19T15:15:00.000Z,0.9998646764703085,4120334518.58281,-37.3053,-0.00618717,-0.00365404,0.00249531,-0.00587031,-0.04629487,-0.01325615,60897627236.16407,2.2617,60897627236.16,,2025-04-19T15:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-19 10:14:46.617211
7,74,Dogecoin,DOGE,dogecoin,1207,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'made-in-america']",,148918606383.70523,148918606383.70523,True,,8,,,,2025-04-19T15:15:00.000Z,0.15820536927721854,498396780.8986087,-6.366,-0.25215895,1.47821278,-4.41612293,-8.19381896,-36.80347999,-59.64971556,23559723115.18284,0.875,23559723115.18,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
8,1958,TRON,TRX,tron,1164,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94949074080.871,94949089168.34471,True,,9,,,,2025-04-19T15:15:00.000Z,0.24222785475023934,407655520.1693315,-13.2744,-0.2630353,-0.30710758,-2.95283669,4.65010693,3.14536183,0.23115934,22999310525.130936,0.8542,22999314179.74,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
9,2010,Cardano,ADA,cardano,1506,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35287114426.69233,44994927702.53886,False,,10,,,,2025-04-19T15:15:00.000Z,0.6245036855570523,387935312.9322472,-1.9767,-0.42620113,1.5714415,-4.97472477,-15.8432963,-19.39723092,-42.18483549,22036933012.142788,0.8184,28102665850.07,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
10,3957,UNUS SED LEO,LEO,unus-sed-leo,59,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923663609.9,985239504.0,False,,11,,,,2025-04-19T15:15:00.000Z,9.309025094753459,1852447.9042994,-13.443,0.45193175,2.80632655,-0.84055064,-5.00051355,-4.88539039,-3.8319698,8598407723.669668,0.3193,9171619267.08,,2025-04-19T15:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-04-19 10:14:46.617211
11,1975,Chainlink,LINK,chainlink,1993,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-04-19T15:15:00.000Z,12.790475533460443,146799821.3241175,-30.2506,0.126301,2.43691575,-2.84102253,-12.32563982,-28.75159581,-50.17186225,8404621095.113948,0.3121,12790475533.46,,2025-04-19T15:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-04-19 10:14:46.617211
12,5805,Avalanche,AVAX,avalanche,906,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416045344.86218244,452714844.86218244,False,,13,,,,2025-04-19T15:15:00.000Z,19.748174324948508,131022691.62903686,-19.3469,0.40650229,4.58273405,-0.89939314,3.52912414,-16.82143336,-48.9918719,8216135997.421699,0.3051,14134730475.67,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
13,512,Stellar,XLM,stellar,702,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30824177778.446426,50001786892.81785,False,,14,,,,2025-04-19T15:15:00.000Z,0.2454867444612157,78645483.83676712,-21.3372,-0.20771213,1.58610988,-0.22921968,-14.52860289,-24.21344126,-47.04702573,7566927053.524562,0.281,12274780771.46,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
14,11419,Toncoin,TON,toncoin,719,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2509942217.6537137,5127619970.933823,True,,15,,,,2025-04-19T15:15:00.000Z,2.9801078024520926,67883615.80484807,-28.8221,-0.00768594,-0.68234973,-0.16605025,-22.19186356,-18.59931471,-42.25501286,7479898386.533741,0.2778,15280860283.39,,2025-04-19T15:15:00.000Z,,,,,,2025-04-19 10:14:46.617211
